Carleton SPP Potential Elective Courses,,
PADM5472,Policy Seminar (Public Management Concentration),One or more selected policy areas or specialized aspects of public management. The policy field or topic will change each year.
PADM5491,Directed Studies (Public Management Concentration),A tutorial or directed reading course on selected subjects related to public management.
,Energy Economics,Micro- and macroeconomic concepts and techniques applied to such topics as international energy markets energy production and energy consumption.
,Energy Management,The fundamentals of energy management focusing on current practices in both private and public sector organizations.
,International Politics of Sustainable Energy,Recent historical and contemporary developments in the role of energy in inter- and intranational relations involving such topics as Canada/US relations the international political economy of oil energy security and climate change.
,Sustainable Energy Policy,The institutions involved in energy policy the processes through which policy is made and the substantive energy-related issues currently preoccupying policy makers.
PADM5611,Science and Technology Policies,Theory and practice regarding governmental policies for science and technology and the use of scientific knowledge in the policy and regulatory processes of government. Concerns regarding the ethical issues and the transparency of science in government.
PADM5612,Industrial Policy Innovation and Sustainable Production,Sustainable production theory and key drivers barriers and opportunities influencing innovation in industrial systems and processes. The relationship of public policies and industry practices are explored in a number of sectors.
PADM5613,Science Risk and Evaluation,Risk-benefit theories and practices and related issues in the evaluation of science and technology how they are handled in applied regulatory and policy institutions in selected sectors (e.g. pesticides health protection biotechnology).
PADM5614,Natural Resource Management,Governance and management of natural resources from a Canadian and international perspective. The use of various management instruments regulatory approaches and community-based and co-management institutions are evaluated with evidence from several case studies from around the world.
PADM5615,Politics and Policy of Energy in Canada,Dilemmas associated with energy policy in Canada. Economic social and environmental dimensions of energy decision making Canadian issues within the context of a changing international scene and long term energy transitions.
PADM5616,Environmental Policy,Canadian environmental policies and programs set in a comparative political-economic and institutional context.
PADM5617,Implementing Sustainable Development in Industrialized Countries,Genesis and evolution of the idea of sustainable development and the ways in which it is influencing public policy and public sector structures and processes. Canada's performance in implementing sustainable development will be assessed in comparison with other industrialized countries.
PADM5618,Environmental and Ecological Economics,Environmental and ecological economics with applications to public policy and environmental management issues. Concepts of sustainability non-market valuation and ecological stability the determination of environmental targets and the use of policy instruments incentives and emissions markets.
PADM5619,Urban Sustainability,Impact of economic growth and social change on cities and their attempts to forge sustainable growth. Incorporating political and fiscal issues the focus is on 'smart growth' policies and initiatives in areas such as environmental control transport land use housing and infrastructure.
PADM5620,The Science Politics and Economics of Global Climate Change,Scientific issues at the core of climate change and the domestic and international policy responses. Various environmental economic and political implications for both the developed and developing worlds and for the various regions of Canada.
PADM5672,Policy Seminar (Innovation Science and Environment Concentration),One or more selected policy areas and topics related to innovation science and environment. The topic will change each year.
PADM5691,Directed Studies (Innovation Science and Environment Concentration),A tutorial or directed reading course on selected subjects related to innovation science and the environment.
PADM5711,Indigenous-Canada Relations: Governance and Policy History,Introduction to pre-contact history of select Indigenous nations and peoples overview of contact period: the treaty relationship evolving jurisprudence changing power dynamics federal and provincial administrative practices contemporary and traditional forms of First Nations M̩tis and Inuit governance. Contrasting approaches to understanding foundational events.
PADM5712,Issues in Contemporary Governance: First Nations M̩tis and Inuit,Diverse approaches to understanding and responding to the main governance issues facing contemporary and traditional First Nations Inuit and M̩tis governments and organizations in Ontario and in the rest of Canada.
PADM5713,Leadership and Management in Indigenous Organizations and Governments,Leadership organizational development and innovation in various cultural contexts relevant to Indigenous peoples organizational design recruitment and human resources management decision-making project planning and implementation media and communications. Practicum included.
PADM5714,Financial Management in First Nations M̩tis and Inuit Governments and Organizations,Legislation regulations and financial management practices that apply in First Nations M̩tis Inuit organizations and governments. Sources and measures to mitigate and eliminate historical disparity including asset management strategic investment and capital aggregation.
PADM5715,Policy Research and Evaluation for Indigenous Policy and Administration,Policy research and program evaluation applied research ethics cultural and community protocols legal frameworks formulation of research problems research design and techniques for collecting and managing community-based and other data research methodologies of specific Indigenous nations and peoples and scholarly debates about epistemology and practice.
PADM5716,Economic and Community Development in Indigenous Territories,Community economic development theories the ethics benefits and costs of traditional current and new approaches pertinent to building stable economies in rural and urban Aboriginal settings.
PADM5717,Aboriginal Peoples and Canadian Law,Canadian law relating to Aboriginal peoples from colonial times to the present. Jurisprudence on Aboriginal and treaty rights: the duty to consult fiduciary duties the honour of the Crown nation-to-nation relations introduction to First Nations M̩tis and Inuit legal traditions and international law.
PADM5718,Indigenous People and Urban Policy and Administration,Policies and programs of and for Indigenous people living in Canadian cities with a focus on institutional and intergovernmental challenges and opportunities for change.
PADM5719,Aboriginal Health and Social Policy,Development and delivery of health and social policies pertinent to Aboriginal people living in diverse circumstances in Canada theories and practices.
PADM5772,Policy Seminar (Indigenous Policy and Administration),One or more selected policy areas or specialized aspects of Indigenous Policy and Administration. The policy field or topic will change each year.
PADM5811,The International Policy Framework,The evolution of the main international rules and institutions governing the economic relationships among nation states with emphasis on the changing roles of the Bretton Woods institutions (IMF World Bank GATT/ WTO).
PADM5812,Governance in Developing Countries,The roles of the state and civil society in the governance of developing countries in the context of public sector reform and globalization.
PADM5813,The Evolution of World Bank/IMF Policy Conditionality,The changing nature of World Bank/IMF policy conditionality with emphasis on the period since the onset of the 1982 debt crisis.
PADM5814,Program and Project Management,The context critical issues and methods relating to the planning and implementation of development programs and projects.
PADM5815,Civil Society Organizations and Development,The context roles structures and strategies of nongovernmental organizations in the development process at the global national and local levels. The role of development aid and NGOs is considered.
PADM5816,Program Evaluation in Developing Countries,The context critical issues and methods relating to the evaluation of development interventions.
PADM5817,Health Policy in Developing Countries,Debates regarding health policy in the developing world in the context of the global health sector reform movement trade and intellectual property regimes and strategies of corporate and NGO actors. Issues of gender class and the determinants of health.
PADM5818,Theories of Development,A survey of the theories and evidence to explain processes of growth and development and their unevenness in low-income countries and transition economies.
PADM5872,Policy Seminar (International and Development Concentration),One or more selected policy areas and topics related to policy and administration in the international and development context. The topic will change each year.
PADM5891,Directed Studies (International and Development Concentration),A tutorial or directed reading course on selected subjects related to international and development issues.
PADM5908,Research Essay,
PADM5909,M.A. Thesis,

